Таска,Files & media,GEO,Id,Post,Text,link,Баєр,Дата взяття в роботу,Дата видачі,Дата створення,Дизайнер,К-сть,Креатив,Мова,Пріорітет,Розмір,Статус таски,Тип креатива:
Статіка,,UK (Великобританія),TS-47,"ID: TS-47
Buyer: @ivanytskkyi
Task:",,,@ivanytskkyi,,,"April 7, 2026 1:30 PM",@FoxcreativeS(Денис),15,Статика,EN,Critical,,Виконано,з нуля
Статика,,FR,TS-54,"ID: TS-54
Buyer: @ivanytskkyi
Task:",,,@ivanytskkyi,,,"April 8, 2026 12:36 PM",@dmitriy_designer_gamble(Діма),20,Статика,Французька,Critical,Reels(9:16),Виконано,з нуля
Адаптация,"Design%20Room/2737447885_Multi_v2.mp4, Design%20Room/2737462546_multi.mp4, Design%20Room/myze2.mp4, Design%20Room/myze1.mp4",UZ,TS-55,"ID: TS-55
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,,,"April 8, 2026 2:59 PM",@Sanchouzini(Саша З.),4,Відео,"Узбецька ",Medium,Reels(9:16),Виконано,Адаптація
Стлот FR ES BE,,"BE (Бельгія), ES, FR",TS-56,"ID: TS-56
Buyer: @osza2
Task:",,,@osza2,,,"April 8, 2026 3:25 PM",@omotiongg(Влад),27,Статика," іспанська, французська, голландська",Critical,Квадрат(1:1),Виконано,з нуля
Slots,Design%20Room/ze1.mp4,"MY, UZ",TS-57,"ID: TS-57
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,,,"April 8, 2026 4:43 PM",@dmitriy_designer_gamble(Діма),2,Відео,"Узбецька, Малайська",Medium,Reels(9:16),Виконано,з нуля
Slots,Design%20Room/ze2.mp4,"MY, UZ",TS-58,"ID: TS-58
Buyer: @bratyshkoo
Task:",,,@bratyshkoo,,,"April 8, 2026 5:25 PM",@dmitriy_designer_gamble(Діма),2,Відео,"Узбецька, Малайська",Medium,Reels(9:16),Виконано,з нуля
Статика,https://drive.google.com/file/d/1f3B4bfMD2KHBTPNZ9kYV1etT70rEGdK4/view?usp=drive_link,SY(Сирія),TS-60,"ID: TS-60
Buyer: @ivanytskkyi
Task:",,,@ivanytskkyi,,,"April 9, 2026 1:11 PM",@FoxcreativeS(Денис),20,Статика,Арабська,Medium,Квадрат(1:1),Виконано,з нуля
Plinko KGС,,KG,TS-63,"ID: TS-63
Buyer: @eduard_osypenko
Task: https://www.notion.so/Plinko-KG-33d23fd746b680c49ce4d4d554b7db42?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/Plinko-KG-33d23fd746b680c49ce4d4d554b7db42?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@eduard_osypenko,,,"April 9, 2026 1:51 PM",@Vitarillio_diz(Віталік),10,Відео,"Киргизька, Російська",Medium,Reels(9:16),Виконано,з нуля
"МультиСлот ","Design%20Room/main.jpg, https://drive.google.com/file/d/1wRKfD4BeMUA3j3qW3rpjh2CkvI4McMQq/view?usp=drive_link",,TS-64,"ID: TS-64
Buyer: @vaddarm96
Task:",,,@vaddarm96,,,"April 9, 2026 2:13 PM",@FoxcreativeS(Денис),2,PWA,англійська,Medium,,Виконано,з нуля
MultySlot,"Design%20Room/MultiCoim13.mp4, Design%20Room/MultiCoim15.mp4",,TS-65,"ID: TS-65
Buyer: @vaddarm96
Task: https://www.notion.so/MultySlot-33d23fd746b68099969ed1e3ba837522?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link",,https://www.notion.so/MultySlot-33d23fd746b68099969ed1e3ba837522?v=33523fd746b680c7a1a9000cac9bea27&source=copy_link,@vaddarm96,,,"April 9, 2026 2:23 PM",@Vitarillio_diz(Віталік),4,Відео,"англійська ",Medium,Квадрат(1:1),Виконано,Адаптація
